State,Date,Time,Cumulative case count,Cumulative deaths,Tests conducted (negative),Tests conducted (total),Hospitalisations (count),Intensive care (count),Ventilator usage (count),Recovered (cumulative),Update Source,Notes
NT,22/04/2020,15:15,28,,,3810,,,,16,https://coronavirus.nt.gov.au/current-status,
SA,22/04/2020,17:30,438,,,47000,,2,,,media release,
WA,22/04/2020,17:30,546,,30594,,,,,451,media release,
NSW,22/04/2020,20:00,2976,33,178088,181064,219,21,15,2006,national summary/media release,
VIC,23/04/2020,10:59,1337,16,,93000,27,10,,1251,media release,
ACT,23/04/2020,13:05,104,3,7263,,1,,,93,media release,
QLD,23/04/2020,15:48,1026,,,92699,20,7,,,media release,
WA,23/04/2020,16:22,546,,31604,,24,5,,458,media release,
TAS,23/04/2020,18:00,205,,,,,,,,media release,
SA,23/04/2020,,438,,,,,,,,national summary,
NT,23/04/2020,15:20,28,,,3972,,,,16,https://coronavirus.nt.gov.au/current-status,
NSW,23/04/2020,20:00,2982,34,185434,190506,230,19,15,2056,media release,
VIC,24/04/2020,9:45,1343,,,96000,21,7,,1254,media release,
TAS,24/04/2020,9:45,,9,,,,,,,,
WA,24/04/2020,,,8,,,,,,,,
ACT,24/04/2020,13:30,105,,7336,,0,,,,media release,
QLD,24/04/2020,13:45,1026,,,94977,18,6,,,media release,
NT,24/04/2020,16:20,28,,,4045,,,,20,https://coronavirus.nt.gov.au/current-status,
WA,24/04/2020,,548,,,,,,,,,
NSW,24/04/2020,17.35,,35,,,,,,,media release,
NSW,24/04/2020,20:00,2994,,190262,193256,203,19,15,2193,media release,
TAS,25/04/2020,,,10,,,,,,,,
QLD,25/04/2020,12:50,1026,,,97057,18,6,,803,media release,
VIC,25/04/2020,13:00,1346,,,98000,24,11,7,1262,media release/pm&o,
ACT,25/04/2020,14:20,106,,7632,,1,1,0,98,media release/pm&o,
WA,25/04/2020,15:30,549,,33650,,24,4,,478,media release/pm&o,
SA,25/04/2020,16:00,438,,,51000,4,2,0,,press conference/pm&o,
TAS,25/04/2020,17:30,209,,,,,,,,national summary,
NSW,25/04/2020,,,36,,,,,,,media release,
NSW,25/04/2020,20:00,3002,36,195713,198715,182,19,15,2208,national summary,
VIC,26/04/2020,11:25,1349,17,,101000,21,10,,1265,media release,
ACT,26/04/2020,12:32,106,3,7886,,1,1,0,99,media release/pm&o,
QLD,26/04/2020,12:35,1030,,,98422,18,6,5,926,media release/pm&o,
WA,26/04/2020,15:36,549,,34256,,16,4,,486,media release,
NSW,26/04/2020,20:00,3004,36,200129,203133,160,19,15,2227,national summary/media release,
SA,26/04/2020,16:00,438,4,,,4,2,0,411,pm&o,
VIC,27/04/2020,12:27,1349,17,,104000,23,11,6,1280,media release,
QLD,27/04/2020,12:55,1033,,,99527,15,6,6,926,media release,
ACT,27/04/2020,13:25,106,3,7996,,1,0,0,100,media release,
TAS,26/04/2020,,,11,,,,,,,press release,
WA,27/04/2020,,549,8,34842,,,,,486,daily snapshot,
NSW,27/04/2020,20:00,3009,37,204236,207245,142,19,15,2243,press release,
NSW,28/04/2020,,,37,,,,,,,national summary/press release (Anglicare),
NT,28/04/2020,6:00,28,,,4245,,,,23,https://coronavirus.nt.gov.au/current-status,
TAS,28/04/2020,8:30,214,,,,,,,,national summary/press release (Anglicare),
VIC,28/04/2020,12:39,1351,17,,,23,11,,1279,media release,
ACT,28/04/2020,13:30,106,,8242,,,,,101,media release,
WA,28/04/2020,16:20,550,,35155,,,,,495,media release,
TAS,28/04/2020,17:30,217,,,,,,,,national summary,
SA,28/04/2020,17:30,438,,,,,,,,national summary,
NSW,28/04/2020,17:30,,41,,,,,,,media release,
NSW,28/04/2020,20:00,3016,41,209643,212659,136,17,14,2266,media release,
VIC,29/04/2020,10:00,1354,18,,111000,18,9,,1287,press conference/media release,
QLD,29/04/2020,11:00,1033,,,104950,12,6,,934,media release,adjusted downwards by one case due to re-assessment
NT,29/04/2020,11:00,28,,,4338,,,,25,https://coronavirus.nt.gov.au/current-status,
ACT,29/04/2020,13:00,106,,8336,,,,,101,media release,
NSW,29/04/2020,16:15,,42,,,,,,,anglicare press release,
TAS,29/04/2020,17:00,220,,,,,,,,pm&o,
SA,29/04/2020,17:00,438,,,,,,,,pm&o,
WA,29/04/2020,17:50,551,,35980,,,,,500,media release,
NSW,29/04/2020,20:00,3016,42,217030,220046,117,15,13,2284,media release,
VIC,30/04/2020,10:10,1361,,,115100,18,9,,1291,media release,
ACT,30/04/2020,13:40,106,3,8546,,0,0,0,103,media release,
WA,30/04/2020,16:27,551,,37251,,13,3,,507,media release,
QLD,30/04/2020,17:17,1033,,,108137,,,,943,media release,
TAS,30/04/2020,,221,13,,,,,,,AAP/National figures,
NSW,30/04/2020,20:00,3025,43,224059,227084,108,14,12,2293,media release,
VIC,1/05/2020,12:00,1364,,,123500,16,7,,1293,media release,
ACT,1/05/2020,13:00,106,,8875,,,,,103,media release,
QLD,1/05/2020,14:45,1033,,,111017,11,4,,948,media release,
WA,1/05/2020,21:30,551,,41241,,,,,511,media release,
SA,1/05/2020,,438,,,,,,,,National figures,
TAS,1/05/2020,,223,,,,,,,,National figures,
NSW,1/05/2020,20:00,3031,,232863,235894,,,,2300,media release,
VIC,2/05/2020,11:00,1371,,,129000,12,7,,1300,media release,
QLD,2/05/2020,14:20,1034,,,113601,10,4,,965,media release,
ACT,2/05/2020,15:30,106,,9137,,,,,103,media release,
VIC,3/05/2020,10:49,1384,18,,138000,12,7,,1300,press conference/media release,
NSW,2/05/2020,,,44,,,,,,,media release (Anglicare),
QLD,3/05/2020,11:47,1035,,,115598,9,4,,976,press conference,
WA,3/05/2020,14:37,551,9,,46167,8,3,,,press conference/media release,
NSW,2/05/2020,20:00,3032,44,240093,243128,106,14,11,2306,press conference/media release,3 previously reported cases excluded
NSW,3/05/2020,20:00,3033,44,245665,248698,107,14,10,2328,media release,
ACT,4/05/2020,,107,3,9521,,,,,103,media release,
NSW,4/05/2020,,,45,,,,,,,media release (Anglicare),
QLD,4/05/2020,14:38,1038,,,116650,9,4,,980,media release,
VIC,4/05/2020,15:09,1406,18,,146500,11,6,,1310,media release,
WA,4/05/2020,17:00,551,,,47029,,,,527,media release,
NT,4/05/2020,20:00,29,,,,,,,,National figures,
SA,4/05/2020,20:00,438,,,,,,,,National figures,
TAS,4/05/2020,20:00,223,,,,,,,,National figures,
NSW,5/05/2020,20:00,3035,,250960,253995,102,13,11,2349,media release,
QLD,5/05/2020,9:00,1040,,,,,,,980,press conference,
VIC,5/05/2020,11:40,1423,,,152000,12,6,,1311,media release,
ACT,5/05/2020,13:34,107,3,9722,,,,,,media release,
WA,5/05/2020,15:59,551,9,,48153,,,,528,daily snapshot,
NSW,5/05/2020,17:00,,46,,,,,,,,
SA,5/05/2020,17:30,438,,,62000,,,,429,media release,
TAS,5/05/2020,20:00,223,,,,,,,,National figures,
NT,5/05/2020,20:00,29,,,,,,,,,
NSW,5/05/2020,20:00,3042,,257852,260894,129,13,9,2418,media release,
VIC,6/05/2020,9:00,1440,,,162000,8,6,,1321,media release,
ACT,6/05/2020,12:00,107,,9995,,,,,103,media release,
WA,6/05/2020,16:00,551,,,49892,,,,528,media release,
QLD,6/05/2020,18:20,1043,,,120204,9,4,,985,media release,
NSW,6/05/2020,20:00,3044,46,268752,271796,121,10,8,2463,media release,
SA,6/05/2020,20:00,438,,,,,,,,National figures,
TAS,6/05/2020,20:00,225,,,,,,,,National figures,
NT,6/05/2020,20:00,29,,,,,,,,National figures,
QLD,7/05/2020,9:00,1045,,,125000,,,,,press conference,
NT,7/05/2020,9:30,30,,,5003,,,,28,https://coronavirus.nt.gov.au/current-status,
VIC,7/05/2020,10:00,1454,18,,176500,8,6,,,press conference,
ACT,7/05/2020,12:22,107,3,10371,,,,,,media release,
SA,7/05/2020,15:45,439,,,,,,,,press conference,
WA,7/05/2020,17:51,551,,,51352,6,3,,531,media release,
QLD,7/05/2020,19:45,1045,,,124898,8,3,,989,media release,
NSW,7/05/2020,20:00,3047,,278210,281257,119,10,8,2486,media release,
TAS,7/05/2020,20:15,226,,,,,,,,National figures,
NT,8/05/2020,8:50,30,,,5117,,,,28,https://coronavirus.nt.gov.au/current-status,
VIC,8/05/2020,11:00,1467,,,,,,,,press conference,
QLD,8/05/2020,12:54,1045,,,129195,9,3,,994,media release,
WA,8/05/2020,14:10,552,,,,,,,534,media release,
ACT,8/05/2020,13:17,107,3,10850,,,,,,media release,
VIC,8/05/2020,14:53,1467,18,,193265,,,,,media release,
TAS,8/05/2020,20:00,227,,,,,,,,National figures,
SA,8/05/2020,20:00,439,,,,,,,,National figures,
NSW,8/05/2020,20:00,3051,,291898,294949,110,8,7,2504,media release,
ACT,9/05/2020,12:45,107,,11167,,,,,103,media release,
VIC,9/05/2020,13:00,1477,,,,8,6,,1327,press conference,
WA,9/05/2020,13:15,552,,,54563,4,,,536,media release,
QLD,9/05/2020,13:40,1045,,,133016,9,3,,1019,media release,
SA,9/05/2020,17:30,439,,,,,,,,press conference,
NSW,10/05/2020,12:30,3053,,,,,,,,media release,
VIC,10/05/2020,12:30,1487,,,,,,,,media release,
WA,10/05/2020,12:30,552,,,,,,,,media release,
ACT,10/05/2020,12:30,107,,,,,,,,media release,
NSW,10/05/2020,20:00,3053,46,,310000,107,7,7,2517,media release,
ACT,11/05/2020,13:24,107,,11832,,,,,,media release,
QLD,11/05/2020,13:41,1045,,,137009,7,3,,1021,media release,
NT,11/05/2020,15:00,30,,,5495,,,,28,https://coronavirus.nt.gov.au/current-status,
VIC,11/05/2020,16:13,1494,18,,245000,7,5,,1360,media release,
WA,11/05/2020,17:59,552,,,56098,4,1,,536,media release,
SA,11/05/2020,20:00,439,,,,,,,,National figures,
TAS,11/05/2020,20:00,227,,,,,,,,National figures,
NSW,11/05/2020,20:00,3053,,,315700,100,8,,2543,media release,
ACT,12/05/2020,13:24,107,,12260,,,,,,media release,
QLD,12/05/2020,14:47,1045,,,138892,7,3,,1021,media release,
VIC,12/05/2020,16:50,1509,,,258000,8,4,,1376,media release,
WA,12/05/2020,18:00,553,,,56226,,,,537,media release,
NSW,12/05/2020,20:00,3059,47,,324000,109,7,7,2571,media release,
ACT,13/05/2020,12:25,107,,12530,,,,,,media release,
VIC,13/05/2020,13:20,1514,,,273000,9,6,,1385,media release,
QLD,13/05/2020,14:00,1045,,,142040,7,3,,1021,media release,
WA,13/05/2020,14:53,553,,,58634,,,,538,media release,
NT,13/05/2020,17:20,30,,,5527,,,,28,https://coronavirus.nt.gov.au/current-status,
NSW,13/05/2020,20:00,3063,,,333634,110,8,6,2595,media release,
SA,13/05/2020,20:00,439,,,,,,,,National figures,
TAS,13/05/2020,20:00,227,,,,,,,,National figures,
ACT,14/05/2020,13:28,107,,12959,,,,,,press release,
VIC,14/05/2020,15:30,1523,,,289000,9,6,,1385,press release,
WA,14/05/2020,15:50,554,,,,,,,538,press release,
SA,14/05/2020,20:00,439,,,,,,,,National figures,
TAS,14/05/2020,20:00,227,,,,,,,,National figures,
NSW,14/05/2020,20:00,3071,,,345846,103,7,5,2605,press release,
VIC,15/05/2020,,1543,18,,,9,7,,1407,press release,
ACT,15/05/2020,14:16,107,,13386,,,,,,press release,
QLD,15/05/2020,18:15,1046,,,,,,,,press release,
TAS,15/05/2020,20:00,227,,,,,,,,National figures,
SA,15/05/2020,20:00,439,,,,,,,,National figures,
NSW,15/05/2020,20:00,3074,,,356000,101,6,3,2611,press release,
VIC,16/05/2020,10:00,1554,,,324000,11,7,,1417,press release,
QLD,16/05/2020,12:00,1047,,,151854,5,3,,,press conference,
ACT,16/05/2020,12:45,107,,13747,,,,,,press release,
WA,16/05/2020,16:40,556,,,64646,,,,541,press release,
TAS,17/05/2020,12:00,228,,,,,,,,National figures,
QLD,17/05/2020,12:00,1055,,,,,,,,National figures,
ACT,17/05/2020,12:20,107,,,,,,,,press release,
NSW,17/05/2020,13:04,3075,,,,,,,,press release,
WA,17/05/2020,15:27,557,,,,,,,,press release,
VIC,17/05/2020,17:10,1567,,,,,,,,media release,
NSW,18/05/2020,9:40,,48,,,,,,,press release,
NSW,17/05/2020,20:00,3076,,,371881,100,6,2,2612,press release,
ACT,18/05/2020,12:56,107,,,14183,,,,104,media release,
QLD,18/05/2020,15:07,1057,,,155755,4,1,,1038,media release,
WA,18/05/2020,15:26,557,,,66539,,,,545,media release,
VIC,18/05/2020,15:37,1567,18,,345000,9,5,,1439,media release,
NT,18/05/2020,16:00,30,,,6370,,,,28,https://coronavirus.nt.gov.au/current-status,
TAS,18/05/2020,20:00,228,,,22206,6,,,198,National figures/TAS health website,
SA,18/05/2020,20:00,439,,,80000,,,,435,SA Health website,
NSW,18/05/2020,20:00,3078,,,377185,101,5,2,2614,media release,
VIC,19/05/2020,12:50,1573,,,358000,11,5,,1454,media release,
NSW,19/05/2020,,,49,,,,,,,media release (Anglicare),
ACT,19/05/2020,13:10,107,,14341,,,,,104,media release,
SA,19/05/2020,14:00,439,,,80713,,,,435,https://www.covid-19.sa.gov.au/home/dashboard,
NT,19/05/2020,16:00,30,,,6417,,,,28,https://coronavirus.nt.gov.au/current-status,
QLD,19/05/2020,17:15,1057,,,158641,4,1,,1039,media release,
TAS,19/05/2020,18:00,228,,,22783,,,,198,National/Tas health website ,
WA,19/05/2020,18:30,557,,,67649,1,,,545,media release,
NSW,19/05/2020,20:00,3081,49,,385000,95,3,2,2631,press conference/media release,
ACT,20/05/2020,12:55,107,,14605,,,,,,media release,
VIC,20/05/2020,13:45,1580,,,367000,10,5,,1465,media release,
SA,20/05/2020,15:00,439,,,83000,1,,,435,media release,
NT,20/05/2020,16:00,30,,,6517,,,,30,https://coronavirus.nt.gov.au/current-status,
WA,20/05/2020,17:40,557,,,69644,,,,545,media release,
TAS,20/05/2020,18:00,228,,,23264,,,,199,National/Tas health website,
QLD,20/05/2020,18:30,1058,,,163560,4,1,,1040,media release,
NSW,20/05/2020,20:00,3082,,,393988,94,3,2,2648,media release,
VIC,21/05/2020,12:15,1581,,,378000,10,5,,1473,media release,
ACT,21/05/2020,12:45,107,,14916,,,,,104,media release,
QLD,21/05/2020,14:30,1058,,,166877,4,1,,1040,media release,
WA,21/05/2020,17:00,557,,,,,,,545,media release,
NSW,22/05/2020,,,50,,,,,,,press conference,
NSW,21/05/2020,20:00,3084,50,,,94,1,1,2648,media release,
VIC,22/05/2020,11:40,1593,18,,393000,10,5,,1479,media release,
ACT,22/05/2020,13:29,107,,,15146,,,,104,media release,
SA,22/05/2020,15:00,439,,,87000,,,,435,media release,
WA,22/05/2020,17:00,557,,,73306,,,,545,media release,
QLD,22/05/2020,17:30,1058,,,169863,4,1,,1040,media release,
NSW,22/05/2020,20:00,3086,50,,411618,88,1,1,2653,media release,
VIC,23/05/2020,12:47,1602,19,,398500,9,3,,1484,media release,
WA,23/05/2020,13:07,560,,,,,,,,media release,
QLD,23/05/2020,15:46,1060,,,,4,,,,media release,
VIC,24/05/2020,10:30,1603,,,420000,9,,,,media release,
ACT,24/05/2020,13:30,107,,15653,,0,0,,104,ACT health website,
WA,24/05/2020,13:40,560,,,76644,0,0,,549,media release,
NSW,24/05/2020,13:40,3087,,,418427,87,1,1,2653,media release,
SA,24/05/2020,15:00,439,,,89000,1,0,,435,media release,
QLD,24/05/2020,16:30,1061,,,173864,4,1,,1041,media release,
TAS,24/05/2020,16:30,228,,,24663,4,0,,203,media release,
NSW,24/05/2020,20:00,3090,,,423000,90,1,1,2656,media release,
NT,25/05/2020,8:30,30,,,7217,0,0,,30,https://coronavirus.nt.gov.au/current-status,
VIC,25/05/2020,10:00,1605,,,430000,8,3,,1520,media release,
ACT,25/05/2020,14:15,107,,15899,,0,0,,104,media release,
QLD,25/05/2020,15:00,1056,,,174974,4,1,,1038,media release,
SA,25/05/2020,15:00,439,,,90000,0,0,,435,media release,
WA,25/05/2020,17:45,564,,,77501,0,0,,549,media release,
TAS,25/05/2020,18:00,228,,,29946,4,0,,205,media release,
VIC,26/05/2020,11:15,1610,,,437000,8,3,,1533,media release,
NSW,26/05/2020,11:40,3092,,,457000,85,1,1,2661,media release,
ACT,26/05/2020,13:30,107,,16089,,0,0,,104,media release,
SA,26/05/2020,15:00,440,,,91000,0,0,,435,media release,
NT,26/05/2020,15:30,30,,,7233,0,0,,30,https://coronavirus.nt.gov.au/current-status,
TAS,26/05/2020,18:00,228,,,25644,2,0,,205,media release,
WA,26/05/2020,19:10,570,,,78308,0,0,,549,media release,
NSW,26/05/2020,20:00,3089,,,464351,85,1,1,2663,media release,
VIC,27/05/2020,13:00,1618,,,471000,8,4,,1539,media release,
ACT,27/05/2020,14:30,107,,16468,,0,0,,104,media release,
SA,27/05/2020,15:00,440,,,93000,0,0,,435,media release,
QLD,27/05/2020,16:20,1058,,,180371,4,1,,1044,media release,
TAS,27/05/2020,18:00,228,,,26447,2,0,,205,media release,
WA,27/05/2020,18:14,570,,,80166,0,0,,549,media release,
NSW,27/05/2020,20:00,3090,,,474223,79,1,1,2670,media release,
VIC,28/05/2020,11:43,1628,,,480000,8,3,,1544,media release,
ACT,28/05/2020,14:32,107,,16962,,0,0,,104,media release,
SA,28/05/2020,15:00,440,,,95000,0,0,,435,media release,
WA,28/05/2020,17:30,577,,,83318,0,0,,550,media release,
TAS,28/05/2020,18:00,228,,,27261,2,0,,205,media release,
NSW,28/05/2020,20:00,3092,,,484185,78,1,1,2666,media release,
ACT,29/05/2020,13:20,107,,17267,,0,0,,104,media release,
VIC,29/05/2020,14:50,1634,,,493000,7,2,,1549,media release,
QLD,29/05/2020,15:00,1058,,,185936,1,1,,1045,media release,
WA,29/05/2020,17:00,585,,,85738,0,0,,551,media release,
NSW,29/05/2020,20:00,3092,,,493637,71,1,0,2683,media release,
VIC,30/05/2020,10:42,1645,,,501000,7,2,,1553,media release,
QLD,30/05/2020,13:30,1058,,,192062,1,1,,1045,media release,
SA,30/05/2020,15:00,440,,,99500,0,0,,435,media release,
WA,30/05/2020,15:45,586,,,89202,0,0,,552,media release,
NSW,30/05/2020,20:00,3095,,,503464,68,1,0,2685,media release,
VIC,31/05/2020,11:25,1649,,,509000,6,2,,1557,media release,
ACT,31/05/2020,12:30,107,,18007,,0,0,,104,ACT health website,
QLD,31/05/2020,15:00,1058,,,195437,1,1,,1046,media release,
SA,31/05/2020,15:00,440,,,100000,0,0,,435,media release,
WA,31/05/2020,15:30,589,,,91530,1,0,,552,media release,
TAS,31/05/2020,18:00,228,,,31671,2,0,,209,Tas health website,
NSW,31/05/2020,20:00,3098,,,509227,67,1,0,2685,media release,
NT,1/06/2020,8:00,30,,,8220,0,0,,30,https://coronavirus.nt.gov.au/current-status,
VIC,1/06/2020,10:50,1653,,,515000,6,1,,1560,media release,
ACT,1/06/2020,12:30,107,,18318,,0,0,,104,ACT health website,
WA,1/06/2020,13:40,591,,,94001,1,0,,553,media release,
QLD,1/06/2020,15:00,1058,,,197367,2,1,,1046,media release,
NSW,2/06/2020,11:10,3104,,,510000,11,1,,,media release,
VIC,2/06/2020,11:30,1663,,,521000,9,2,,,media release,
QLD,2/06/2020,17:30,1059,,,200391,2,,,,media release,
WA,2/06/2020,17:30,591,,,94001,2,,,,media release,
TAS,2/06/2020,17:30,228,,,,2,,,,media release,
SA,2/06/2020,17:30,440,,,,0,,,,media release,
ACT,2/06/2020,17:30,107,,,,0,,,,media release,
NSW,2/06/2020,20:00,3104,,,521669,69,2,0,2691,media release,
WA,3/06/2020,15:57,592,,,,,,,557,media release,
NSW,3/06/2020,20:00,3106,,,533034,71,1,0,2700,media release,
VIC,4/06/2020,15:10,1678,,,536000,7,2,,1584,media release,
WA,4/06/2020,17:00,592,,,102901,,,,,media release,
ACT,4/06/2020,17:00,107,,,,0,,,,media release,
NT,4/06/2020,17:00,29,,,,0,,,,media release,
QLD,4/06/2020,17:00,1060,,,,2,,,,media release,
SA,4/06/2020,17:00,440,,,,0,,,,media release,
TAS,4/06/2020,17:00,228,,,,2,,,,media release,
VIC,5/06/2020,10:27,1681,,,542000,7,1,,1586,media release,
NSW,4/06/2020,20:00,3110,,,543205,71,0,0,2714,media release,
WA,5/06/2020,16:12,596,,,107811,0,0,,557,media release,
NSW,5/06/2020,20:00,3110,,,555956,71,0,0,2719,media release,
QLD,6/06/2020,12:00,1061,,,216458,2,1,,1049,media release,
WA,6/06/2020,12:32,599,,,112110,0,0,,559,media release,
VIC,6/06/2020,14:00,1681,,,,8,0,,1589,media release,
SA,6/06/2020,15:00,440,,,110000,0,0,,436,media release,
NSW,6/06/2020,20:00,3109,,,565163,70,0,0,2723,media release,
VIC,7/06/2020,11:30,1685,,,530000,6,2,,1593,media release,
QLD,7/06/2020,12:00,1061,,,219422,2,1,,1050,media release,
ACT,7/06/2020,13:00,108,,20379,,0,0,,104,media release,
WA,7/06/2020,15:00,599,,,115507,0,0,,559,media release,
NSW,7/06/2020,20:00,3112,,,571113,66,0,0,2724,media release,
NT,8/06/2020,8:30,29,,,9454,0,0,,29,https://coronavirus.nt.gov.au/current-status,
VIC,8/06/2020,10:30,1687,,,543000,7,2,,1595,media release,
QLD,8/06/2020,12:00,1062,,,221212,2,1,0,1050,media release,
ACT,8/06/2020,13:00,108,,20575,,0,0,0,104,https://www.covid19.act.gov.au/,
SA,8/06/2020,15:00,440,,,114000,0,0,,436,https://www.sahealth.sa.gov.au/wps/wcm/connect/public+content/sa+health+internet/about+us/news+and+media/all+media+releases/covid-19+update+8+june+2020,
WA,8/06/2020,17:00,599,,,118497,0,0,,559,media release,
TAS,8/06/2020,18:00,228,,,36970,1,0,0,211,National/TAS health ,
NSW,8/06/2020,20:00,3114,,,575865,66,0,0,2729,media release,
VIC,9/06/2020,10:00,1687,,,548000,7,1,,1602,media release,
WA,9/06/2020,16:38,599,,,,,,,560,media release,
NSW,9/06/2020,20:00,3117,,,581559,64,0,0,2735,media release,
VIC,10/06/2020,12:21,1691,,,557000,9,2,,1616,media release,
WA,10/06/2020,16:45,601,,,126700,0,0,,564,media release,
SA,10/06/2020,17:00,440,,,117000,0,0,0,436,media release,
TAS,10/06/2020,18:00,228,,,38634,1,0,0,211,National/ https://coronavirus.tas.gov.au/facts/cases-and-testing-updates,
NSW,10/06/2020,20:00,3117,,,591305,69,0,,2738,media release,
VIC,11/06/2020,11:00,1699,,,564000,6,1,1,1621,media release,
QLD,11/06/2020,12:00,1063,,,235917,2,1,,1051,https://www.qld.gov.au/health/conditions/health-alerts/coronavirus-covid-19/current-status/statistics,
ACT,11/06/2020,13:40,108,,21830,,0,0,,104,https://www.covid19.act.gov.au/,
WA,12/06/2020,13:40,602,,,134491,,,,575,media release,
VIC,12/06/2020,15:04,1703,,,572000,,,,1632,media release,
NSW,12/06/2020,11:00,3119,,,620650,47,0,0,2763,media release,
QLD,13/06/2020,16:30,1065,,,245713,2,1,,1051,media release,
VIC,13/06/2020,16:41,1711,,,582000,5,1,,1641,media release,
NSW,13/06/2020,20:00,3128,,,634241,47,0,0,2766,media release,
QLD,14/06/2020,12:00,1065,,,249627,1,1,,1051,media release,
VIC,14/06/2020,12:50,1720,,,590000,6,2,,1657,media release,
WA,14/06/2020,13:20,602,,,141905,0,0,,582,media release,
NSW,14/06/2020,20:00,3131,,,641442,42,0,0,2766,media release,
VIC,15/06/2020,12:40,1732,,,594000,7,3,,1661,media release,
WA,15/06/2020,15:00,602,,,143418,0,0,,591,media release,
NSW,15/06/2020,20:00,3134,,,649337,46,0,0,2768,media release,
VIC,16/06/2020,11:30,1741,,,599000,6,2,1,1664,media release,
QLD,16/06/2020,12:00,1065,,,254554,1,1,1,1051,media release,
ACT,16/06/2020,12:00,108,,23729,,0,0,0,104,media release,
WA,16/06/2020,16:00,602,,,143418,0,0,0,591,media release,
SA,16/06/2020,17:00,440,,,127000,0,0,0,436,media release,
TAS,16/06/2020,18:00,228,,,41839,0,0,0,213,media release,
NSW,16/06/2020,20:00,3135,,,661226,49,0,0,2770,media release,
NT,17/06/2020,8:30,29,,,10665,0,0,0,29,media release,
ACT,17/06/2020,14:30,108,,24320,,0,0,0,105,media release,
VIC,17/06/2020,14:45,1762,,,609000,5,2,2,1671,media release,
QLD,17/06/2020,15:00,1066,,,259902,1,1,0,1052,media release,
SA,17/06/2020,15:00,440,,,130000,0,0,0,436,media release,
WA,17/06/2020,17:00,602,,,143418,0,0,0,592,media release,
TAS,17/06/2020,18:00,228,,,42395,0,0,0,215,media release,
NSW,17/06/2020,20:00,3137,,,678618,51,0,0,2770,media release,
QLD,18/06/2020,12:00,1066,,,264106,1,0,0,1052,https://www.qld.gov.au/health/conditions/health-alerts/coronavirus-covid-19/current-status/statistics,
VIC,18/06/2020,14:15,1780,,,621000,4,2,2,1678,media release,
WA,18/06/2020,14:45,603,,,152603,0,0,0,592,media release,
NSW,18/06/2020,20:00,3143,,,695981,,,,2770,media release,
WA,19/06/2020,13:03,603,,,155815,,,,592,media release,
VIC,19/06/2020,14:47,1792,,,635000,,,,1680,media release,
NSW,19/06/2020,20:00,3144,,,712174,56,0,0,2771,media release,
WA,20/06/2020,12:00,604,,,158762,0,0,0,593,media release,
VIC,20/06/2020,12:00,1817,,,645000,6,3,2,1686,media release,
NSW,20/06/2020,20:00,3149,,,725817,54,0,0,2771,media release,
QLD,21/06/2020,12:00,1066,,,274688,1,0,0,1053,https://www.qld.gov.au/health/conditions/health-alerts/coronavirus-covid-19/current-status/statistics,
ACT,21/06/2020,12:30,108,,25797,,0,0,0,105,https://www.covid19.act.gov.au/,
VIC,21/06/2020,15:25,1836,,,660000,7,2,2,1694,media release,
WA,21/06/2020,17:00,605,,,161265,0,0,0,593,media release,
SA,21/06/2020,17:00,440,,,137000,0,0,0,436,media release,
TAS,21/06/2020,18:00,228,,,44217,0,0,0,213,National/ https://coronavirus.tas.gov.au/facts/cases-and-testing-updates,
NSW,21/06/2020,20:00,3151,,,734699,46,0,0,2771,media release,
NT,22/06/2020,8:30,29,,,11533,0,0,0,29,https://coronavirus.nt.gov.au/current-status,
VIC,22/06/2020,12:00,1847,,,667000,9,2,2,1701,media release,
NSW,22/06/2020,20:00,3159,,,742962,49,0,0,2771,media release,
NT,23/06/2020,8:30,29,,,11566,0,0,0,29,https://coronavirus.nt.gov.au/current-status,
QLD,23/06/2020,12:00,1066,,,327530,1,0,0,1053,https://www.qld.gov.au/health/conditions/health-alerts/coronavirus-covid-19/current-status/statistics,
ACT,23/06/2020,12:00,108,,26372,,0,0,0,105,https://www.covid19.act.gov.au/,
VIC,23/06/2020,14:16,1864,,,675000,9,3,0,1712,media release,
WA,23/06/2020,14:39,607,,,164147,0,0,0,594,media release,
SA,23/06/2020,15:00,440,,,139000,0,0,0,436,media release,
TAS,23/06/2020,18:00,228,,,45440,0,0,0,213,National/ https://coronavirus.tas.gov.au/facts/cases-and-testing-updates,
NSW,23/06/2020,20:00,3159,,,756240,47,0,0,2771,media release,
VIC,24/06/2020,9:30,1884,20,,696000,7,2,0,1721,media release,
WA,24/06/2020,15:00,607,,,167201,0,0,0,594,media release,
SA,24/06/2020,15:00,440,,,141000,0,0,0,436,media release,
NSW,24/06/2020,20:00,3162,51,,773415,54,0,0,2776,media release,
QLD,25/06/2020,12:00,1066,,,340581,1,0,0,1054,https://www.qld.gov.au/health/conditions/health-alerts/coronavirus-covid-19/current-status/statistics,
WA,25/06/2020,15:40,608,,,171195,0,0,0,595,media release,
VIC,25/06/2020,16:15,1917,,,716000,7,2,0,1732,media release,
NSW,25/06/2020,20:00,3168,,,788693,57,1,0,2782,media release,
VIC,26/06/2020,12:50,1947,,,736000,6,1,0,1742,media release,
WA,26/06/2020,13:47,608,,,174330,0,0,0,595,media release,
QLD,26/06/2020,12:00,1067,,,347610,2,0,0,1054,https://www.qld.gov.au/health/conditions/health-alerts/coronavirus-covid-19/current-status/statistics,
